"country","host_name","network_zone_type","ip_address","data_centre_location","it_service","it_service_owner","rhel_version","network_environment","running_cost_in_usd","infrastructure_component","operational_status"
"US","host1588","LAN","202.214.43.161","New York DC","Web Hosting","David Bowie","RHEL 8","Dev",1167,"rProxy","active"
"UK","host6052","LAN","208.138.76.29","London DC","Email","David Bowie","RHEL 9","Prod",907,"Kong GW","planned"
"HK","host9440","LAN","203.90.212.108","Hong Kong DC","Email","Adele","RHEL 9","Prod",676,"rProxy","planned"
"UK","host4883","LAN","207.114.88.215","London DC","Email","David Bowie","RHEL 8","Prod",1276,"Hazelcast","active"
"UK","host6455","LAN","210.195.194.83","London DC","Database","David Bowie","RHEL 8","Prod",1112,"Mule PCE","active"
"UK","host2096","WAN","206.75.126.172","London DC","Database","Elton John","RHEL 8","Prod",1339,"Kong GW","active"
"US","host7209","WAN","195.213.187.19","New York DC","Email","Elton John","RHEL 8","Prod",1157,"Mule GW","planned"
"UK","host6370","DMZ","215.118.250.72","London DC","Database","Amy Winehouse","RHEL 8","Prod",1307,"Mule PCE","planned"
"CN","host6846","LAN","209.16.207.17","Beijing DC","Monitoring","John Lennon","RHEL 9","Dev",575,"Mule PCE","planned"
"US","host2122","LAN","206.245.17.230","New York DC","Database","David Bowie","RHEL 7","Dev",1681,"Hazelcast","decommissioning"
"UK","host9842","LAN","194.106.162.160","London DC","Web Hosting","Adele","RHEL 9","Dev",708,"Kong GW","active"
"CN","host6231","DMZ","212.117.181.111","Beijing DC","Database","David Bowie","RHEL 8","Prod",839,"Hazelcast","active"
"CN","host1369","LAN","211.113.14.246","Beijing DC","Web Hosting","Adele","RHEL 8","Prod",550,"MongoDB","active"
"US","host4268","LAN","206.244.218.217","New York DC","File Storage","Adele","RHEL 8","Test",1405,"Mule GW","active"
"UK","host6021","LAN","200.75.215.121","London DC","Database","Elton John","RHEL 9","Test",877,"Mule PCE","active"
"HK","host5466","WAN","204.213.145.211","Hong Kong DC","Database","Amy Winehouse","RHEL 8","Test",889,"rProxy","active"
"UK","host9140","WAN","204.39.91.234","London DC","Database","David Bowie","RHEL 8","Prod",1247,"Mule GW","active"
"CN","host8773","LAN","221.214.20.20","Beijing DC","Email","David Bowie","RHEL 8","Test",648,"Kong GW","active"
"US","host6685","DMZ","197.150.57.214","New York DC","Database","Elton John","RHEL 9","Dev",1125,"Kong GW","active"
"UK","host7107","LAN","201.148.2.196","London DC","Web Hosting","Elton John","RHEL 9","Prod",811,"Mule PCE","active"
"US","host4041","LAN","202.29.1.239","New York DC","File Storage","Amy Winehouse","RHEL 7","Prod",1540,"rProxy","active"
"PL","host4933","LAN","196.108.231.110","Warsaw DC","Web Hosting","John Lennon","RHEL 8","Test",520,"Hazelcast","planned"
"US","host9799","LAN","222.120.75.109","New York DC","Email","Adele","RHEL 8","Prod",1062,"Hazelcast","planned"
"US","host4789","DMZ","222.2.187.39","New York DC","Monitoring","Adele","RHEL 9","Prod",1112,"Mule GW","active"
"US","host6360","DMZ","214.167.77.8","New York DC","Email","Adele","RHEL 8","Dev",1304,"Kong GW","active"
"PL","host7775","LAN","207.86.14.61","Warsaw DC","File Storage","Adele","RHEL 9","Prod",150,"Mule GW","active"
"PL","host3112","LAN","197.237.32.65","Warsaw DC","Web Hosting","David Bowie","RHEL 9","UAT",250,"Hazelcast","active"
"PL","host6401","LAN","193.121.52.148","Warsaw DC","Email","Adele","RHEL 8","Prod",304,"rProxy","active"
"US","host9655","LAN","200.206.74.107","New York DC","Database","David Bowie","RHEL 9","Prod",1161,"Hazelcast","active"
"US","host6139","WAN","219.20.135.42","New York DC","Database","David Bowie","RHEL 9","Prod",979,"Hazelcast","active"
"US","host5885","LAN","204.207.70.51","New York DC","File Storage","Amy Winehouse","RHEL 8","Prod",1248,"Kong GW","active"
"US","host3202","WAN","213.111.250.180","New York DC","Email","Elton John","RHEL 8","Prod",1133,"MongoDB","planned"
"US","host1534","DMZ","216.251.232.35","New York DC","Database","Amy Winehouse","RHEL 7","Test",1578,"Hazelcast","decommissioning"
"UK","host3840","LAN","201.143.69.134","London DC","Email","David Bowie","RHEL 8","Prod",1040,"Mule PCE","active"
"UK","host4645","WAN","221.165.165.42","London DC","Email","David Bowie","RHEL 9","Prod",894,"rProxy","planned"
"US","host3477","LAN","199.218.77.123","New York DC","Email","Adele","RHEL 8","Prod",1266,"Kong GW","active"
"US","host3778","LAN","219.212.4.28","New York DC","Email","Adele","RHEL 8","Dev",1096,"MongoDB","active"
"HK","host1341","LAN","214.22.132.29","Hong Kong DC","Database","Adele","RHEL 8","Dev",704,"Hazelcast","planned"
"PL","host8537","WAN","223.143.2.7","Warsaw DC","Web Hosting","Adele","RHEL 9","Prod",336,"Hazelcast","planned"
"UK","host1579","LAN","207.164.80.248","London DC","Web Hosting","Amy Winehouse","RHEL 7","Dev",1296,"rProxy","decommissioning"
"UK","host1592","WAN","216.215.73.186","London DC","Database","Adele","RHEL 8","Test",1030,"Mule GW","active"
"UK","host4916","LAN","205.121.139.119","London DC","Database","Adele","RHEL 8","Dev",1038,"Mule PCE","active"
"UK","host8821","LAN","200.52.255.139","London DC","Email","David Bowie","RHEL 8","Prod",1244,"Kong GW","active"
"UK","host7651","LAN","198.217.138.196","London DC","Database","David Bowie","RHEL 7","UAT",1553,"Mule GW","decommissioning"
"US","host2148","LAN","220.165.108.198","New York DC","Database","Adele","RHEL 7","Prod",1870,"Mule GW","decommissioning"
"UK","host2725","LAN","198.241.239.60","London DC","Database","Elton John","RHEL 7","Test",1722,"Hazelcast","decommissioning"
"US","host6237","LAN","216.97.90.251","New York DC","Email","Adele","RHEL 8","Prod",1374,"Hazelcast","planned"
"PL","host5181","WAN","213.104.182.227","Warsaw DC","Email","Amy Winehouse","RHEL 7","Prod",646,"Mule PCE","decommissioning"
"UK","host8406","LAN","205.151.199.204","London DC","Monitoring","David Bowie","RHEL 7","Dev",1444,"Hazelcast","decommissioning"
"UK","host6295","WAN","208.25.46.167","London DC","File Storage","Amy Winehouse","RHEL 9","Test",720,"Kong GW","active"
"US","host5872","LAN","212.249.173.91","New York DC","Email","Adele","RHEL 8","Prod",1485,"Kong GW","decommissioning"
"UK","host1011","LAN","218.113.92.116","London DC","File Storage","Adele","RHEL 9","Prod",619,"MongoDB","planned"
"PL","host4447","LAN","217.207.172.216","Warsaw DC","Email","John Lennon","RHEL 8","Test",313,"Kong GW","decommissioning"
"UK","host2810","LAN","214.98.133.160","London DC","Web Hosting","Adele","RHEL 9","Prod",844,"Kong GW","planned"
"US","host9172","LAN","199.130.228.195","New York DC","Database","Adele","RHEL 8","Prod",1131,"Hazelcast","planned"
"PL","host7225","LAN","218.232.212.224","Warsaw DC","Database","David Bowie","RHEL 8","Dev",592,"Mule GW","active"
"UK","host1969","DMZ","213.136.231.193","London DC","Email","David Bowie","RHEL 8","Test",876,"MongoDB","active"
"US","host1073","LAN","202.193.6.137","New York DC","Database","Elton John","RHEL 8","Prod",1363,"Mule PCE","active"
"US","host8945","LAN","209.242.238.189","New York DC","Email","Adele","RHEL 8","Prod",1296,"rProxy","active"
"US","host4814","LAN","215.155.95.98","New York DC","Database","Elton John","RHEL 8","Prod",1484,"Hazelcast","active"
"HK","host8767","WAN","220.138.220.56","Hong Kong DC","Web Hosting","John Lennon","RHEL 8","Test",613,"Mule PCE","active"
"UK","host4512","LAN","202.138.66.137","London DC","Web Hosting","Adele","RHEL 8","Prod",1121,"rProxy","active"
"UK","host1862","WAN","211.19.230.116","London DC","Web Hosting","John Lennon","RHEL 9","Dev",827,"rProxy","planned"
"US","host4429","LAN","202.41.28.148","New York DC","Database","Amy Winehouse","RHEL 8","Dev",1126,"Kong GW","active"
"US","host4790","LAN","204.222.44.18","New York DC","File Storage","Adele","RHEL 8","Dev",1269,"rProxy","active"
"US","host3289","LAN","209.195.176.15","New York DC","Web Hosting","John Lennon","RHEL 9","Prod",1200,"Mule PCE","active"
"US","host4948","LAN","197.68.250.62","New York DC","Web Hosting","Amy Winehouse","RHEL 9","Dev",895,"Hazelcast","planned"
"UK","host3016","LAN","192.12.130.97","London DC","Email","Amy Winehouse","RHEL 8","Prod",940,"Mule GW","active"
"UK","host5722","LAN","208.192.75.253","London DC","Web Hosting","Adele","RHEL 8","Prod",818,"Kong GW","active"
"US","host5577","LAN","222.243.187.92","New York DC","Database","Amy Winehouse","RHEL 9","Dev",972,"Hazelcast","planned"
"US","host1835","DMZ","216.79.141.68","New York DC","File Storage","Adele","RHEL 8","Prod",1235,"rProxy","planned"
"PL","host8378","LAN","219.207.41.41","Warsaw DC","File Storage","John Lennon","RHEL 9","Test",192,"Hazelcast","planned"
"UK","host7849","DMZ","199.60.159.191","London DC","Email","Amy Winehouse","RHEL 9","Dev",966,"Mule GW","planned"
"UK","host5103","WAN","216.151.66.116","London DC","File Storage","Adele","RHEL 8","Dev",875,"Hazelcast","active"
"UK","host5945","DMZ","218.69.194.93","London DC","Database","Adele","RHEL 8","Test",1279,"Kong GW","active"
"US","host6010","DMZ","213.8.234.18","New York DC","Database","Amy Winehouse","RHEL 9","Dev",920,"Kong GW","active"
"UK","host2885","LAN","217.204.35.162","London DC","Database","Elton John","RHEL 8","Test",1073,"Hazelcast","active"
"PL","host4911","LAN","220.73.235.199","Warsaw DC","Web Hosting","David Bowie","RHEL 8","Dev",600,"MongoDB","active"
"US","host8408","DMZ","198.132.248.47","New York DC","Monitoring","Adele","RHEL 9","Prod",1122,"rProxy","active"
"US","host2732","LAN","212.140.249.37","New York DC","File Storage","Elton John","RHEL 8","Prod",1029,"rProxy","active"
"CN","host8651","LAN","221.35.34.13","Beijing DC","Web Hosting","David Bowie","RHEL 8","Dev",875,"Mule GW","active"
"UK","host2445","DMZ","198.28.206.251","London DC","Email","Amy Winehouse","RHEL 8","Prod",1055,"Hazelcast","active"
"UK","host9789","LAN","213.123.89.74","London DC","Monitoring","Amy Winehouse","RHEL 9","Prod",997,"Mule PCE","active"
"UK","host7511","WAN","212.207.186.64","London DC","Web Hosting","Adele","RHEL 9","Prod",784,"rProxy","planned"
"US","host5615","WAN","193.237.76.124","New York DC","File Storage","David Bowie","RHEL 7","Prod",1858,"Hazelcast","decommissioning"
"UK","host5801","WAN","214.3.179.90","London DC","Database","Amy Winehouse","RHEL 7","Prod",1408,"Hazelcast","active"
"UK","host9580","LAN","200.21.43.253","London DC","Database","Adele","RHEL 7","Prod",1414,"Kong GW","decommissioning"
"US","host7165","LAN","216.196.228.23","New York DC","File Storage","Amy Winehouse","RHEL 8","Dev",1395,"Hazelcast","active"
"UK","host2055","LAN","201.145.168.82","London DC","Email","David Bowie","RHEL 8","Prod",1393,"rProxy","active"
"US","host9882","DMZ","223.221.184.48","New York DC","Web Hosting","Amy Winehouse","RHEL 8","Prod",1165,"Mule PCE","active"
"UK","host1474","LAN","195.129.134.5","London DC","Monitoring","Amy Winehouse","RHEL 8","Prod",1121,"Mule PCE","planned"
"US","host9771","LAN","213.77.209.189","New York DC","Monitoring","David Bowie","RHEL 9","Dev",802,"Hazelcast","active"
"US","host4426","LAN","216.69.112.86","New York DC","Database","Amy Winehouse","RHEL 8","Prod",1260,"rProxy","active"
"US","host3973","WAN","192.90.212.54","New York DC","Email","Elton John","RHEL 9","Prod",929,"Hazelcast","active"
"US","host3508","LAN","219.16.33.116","New York DC","File Storage","Adele","RHEL 8","Test",1269,"Mule GW","active"
"US","host7624","LAN","202.144.65.157","New York DC","Database","Adele","RHEL 9","Dev",1105,"Hazelcast","planned"
"UK","host8156","WAN","214.153.92.173","London DC","File Storage","Amy Winehouse","RHEL 9","Prod",707,"Hazelcast","planned"
"PL","host8560","DMZ","202.113.213.113","Warsaw DC","Database","Elton John","RHEL 8","Test",593,"rProxy","planned"
"PL","host8709","LAN","195.31.27.86","Warsaw DC","Web Hosting","Amy Winehouse","RHEL 8","Prod",455,"Kong GW","active"
"US","host6588","LAN","204.206.149.171","New York DC","File Storage","David Bowie","RHEL 8","Dev",1147,"Mule GW","active"
"UK","host6000","LAN","212.252.89.170","London DC","Email","David Bowie","RHEL 9","Prod",862,"Mule PCE","planned"
"US","host6950","LAN","223.98.77.228","New York DC","Email","Amy Winehouse","RHEL 8","Dev",1335,"Kong GW","planned"
"PL","host9532","LAN","218.10.36.47","Warsaw DC","Web Hosting","Adele","RHEL 8","UAT",463,"Mule PCE","decommissioning"
"US","host8177","LAN","197.162.166.146","New York DC","File Storage","David Bowie","RHEL 8","Dev",1131,"Hazelcast","active"
"UK","host9217","LAN","213.177.52.223","London DC","Web Hosting","Amy Winehouse","RHEL 9","Dev",693,"rProxy","active"
"UK","host3037","LAN","195.236.42.128","London DC","Web Hosting","Elton John","RHEL 8","Dev",872,"MongoDB","planned"
"UK","host9366","LAN","204.32.148.138","London DC","Database","John Lennon","RHEL 9","Prod",756,"Hazelcast","planned"
"UK","host9708","LAN","218.127.211.122","London DC","File Storage","David Bowie","RHEL 9","Prod",957,"Mule GW","active"
"CN","host9531","DMZ","218.244.64.250","Beijing DC","Database","Adele","RHEL 9","Test",521,"Hazelcast","planned"
"US","host8074","DMZ","220.115.91.251","New York DC","Database","Adele","RHEL 9","Prod",1190,"Mule GW","planned"
"US","host7031","LAN","196.244.195.65","New York DC","Database","David Bowie","RHEL 8","Prod",1446,"Kong GW","planned"
"US","host4579","LAN","197.218.138.139","New York DC","Web Hosting","Adele","RHEL 8","Prod",1121,"Mule PCE","decommissioning"
"US","host6306","LAN","220.73.115.35","New York DC","File Storage","Adele","RHEL 7","Prod",1675,"Mule GW","decommissioning"
"UK","host8875","LAN","196.86.133.215","London DC","Email","Elton John","RHEL 9","Prod",824,"Hazelcast","planned"
"UK","host9738","LAN","210.52.58.190","London DC","Web Hosting","Elton John","RHEL 7","Test",1792,"Kong GW","active"
"US","host6348","WAN","202.163.71.204","New York DC","File Storage","Adele","RHEL 8","Prod",1335,"Mule PCE","active"
"UK","host9028","DMZ","209.171.186.154","London DC","Email","Adele","RHEL 8","Test",1260,"Hazelcast","planned"
"UK","host5100","WAN","202.89.168.201","London DC","Email","Adele","RHEL 8","Dev",1047,"Mule PCE","active"
"US","host7154","WAN","193.232.198.51","New York DC","Database","Elton John","RHEL 9","Prod",1033,"Kong GW","planned"
"PL","host1511","LAN","202.95.217.12","Warsaw DC","Email","Adele","RHEL 8","Prod",384,"Hazelcast","active"
"UK","host1381","LAN","202.4.170.201","London DC","Email","Adele","RHEL 8","Prod",1034,"Hazelcast","active"
"UK","host4753","DMZ","203.158.238.197","London DC","Database","David Bowie","RHEL 9","Prod",978,"Kong GW","planned"
"US","host5367","LAN","207.37.23.154","New York DC","Web Hosting","Adele","RHEL 8","Prod",1169,"Hazelcast","active"
"UK","host1682","LAN","199.30.130.182","London DC","Database","Amy Winehouse","RHEL 8","Prod",1181,"rProxy","active"
"US","host7573","LAN","200.114.123.193","New York DC","Email","Adele","RHEL 7","Prod",1846,"Mule PCE","decommissioning"
"PL","host7347","DMZ","195.17.241.214","Warsaw DC","File Storage","Amy Winehouse","RHEL 8","UAT",420,"rProxy","planned"
"CN","host5702","LAN","200.246.37.62","Beijing DC","File Storage","Adele","RHEL 8","UAT",811,"Kong GW","decommissioning"
"US","host3022","LAN","198.198.250.139","New York DC","Database","Adele","RHEL 8","Test",1026,"rProxy","active"
"PL","host4183","WAN","214.122.82.210","Warsaw DC","File Storage","David Bowie","RHEL 7","Prod",720,"Hazelcast","decommissioning"
"US","host7945","LAN","217.230.100.223","New York DC","Email","Adele","RHEL 9","Prod",920,"rProxy","planned"
"US","host8331","LAN","193.132.235.34","New York DC","File Storage","Adele","RHEL 8","Prod",1000,"MongoDB","active"
"UK","host3115","DMZ","216.162.197.36","London DC","File Storage","Adele","RHEL 8","Prod",1392,"Mule PCE","decommissioning"
"CN","host2508","LAN","218.242.119.103","Beijing DC","Database","Adele","RHEL 8","Prod",709,"Hazelcast","planned"
"US","host5793","LAN","197.99.124.187","New York DC","Database","Amy Winehouse","RHEL 9","Prod",1141,"Hazelcast","planned"
"US","host7349","LAN","206.196.99.200","New York DC","File Storage","Adele","RHEL 8","UAT",1217,"Mule PCE","active"
"US","host4700","LAN","203.44.116.243","New York DC","Web Hosting","Adele","RHEL 9","Test",938,"rProxy","planned"
"PL","host5130","WAN","204.55.178.232","Warsaw DC","Web Hosting","Adele","RHEL 9","Prod",352,"Hazelcast","planned"
"UK","host5218","LAN","216.187.186.240","London DC","Email","Adele","RHEL 9","Prod",623,"rProxy","active"
"HK","host1854","DMZ","219.66.207.23","Hong Kong DC","Database","Adele","RHEL 9","Dev",593,"rProxy","active"
"US","host6234","LAN","192.205.75.251","New York DC","Database","Amy Winehouse","RHEL 8","Prod",1009,"Kong GW","active"
"HK","host7993","LAN","223.159.24.136","Hong Kong DC","File Storage","Amy Winehouse","RHEL 8","Dev",853,"Hazelcast","active"
"HK","host7564","DMZ","206.93.125.48","Hong Kong DC","Database","Elton John","RHEL 8","Test",737,"Mule GW","active"
"PL","host1377","WAN","219.198.112.187","Warsaw DC","Database","Amy Winehouse","RHEL 8","Test",395,"Hazelcast","active"
"HK","host4117","LAN","214.114.205.10","Hong Kong DC","Email","Amy Winehouse","RHEL 8","Prod",632,"rProxy","planned"
"US","host4142","LAN","203.71.198.175","New York DC","Database","David Bowie","RHEL 7","Dev",1914,"Mule GW","decommissioning"
"US","host9275","WAN","215.176.86.231","New York DC","Web Hosting","Adele","RHEL 7","Prod",1856,"Hazelcast","active"
"US","host4122","LAN","208.160.130.29","New York DC","Monitoring","David Bowie","RHEL 8","Test",1239,"rProxy","active"
"UK","host5262","LAN","215.22.190.171","London DC","Email","David Bowie","RHEL 8","Prod",1153,"Mule GW","active"
"PL","host8591","WAN","215.231.250.233","Warsaw DC","Monitoring","David Bowie","RHEL 9","Prod",275,"Hazelcast","active"
"US","host2264","DMZ","206.61.176.233","New York DC","File Storage","Adele","RHEL 8","Test",1286,"Mule PCE","active"
"UK","host5151","LAN","205.179.240.112","London DC","Database","Amy Winehouse","RHEL 8","Dev",978,"rProxy","active"
"US","host8182","WAN","206.144.181.18","New York DC","Email","John Lennon","RHEL 9","Prod",1056,"Hazelcast","planned"
"US","host2126","LAN","201.43.235.216","New York DC","Email","Adele","RHEL 8","Dev",1130,"rProxy","active"
"US","host9313","LAN","201.182.198.221","New York DC","File Storage","Adele","RHEL 7","Dev",1997,"rProxy","decommissioning"
"US","host8507","WAN","209.240.22.162","New York DC","Email","Adele","RHEL 8","Prod",1350,"Hazelcast","active"
"PL","host3484","WAN","197.80.33.127","Warsaw DC","File Storage","Adele","RHEL 7","Prod",683,"Hazelcast","decommissioning"
"HK","host6548","WAN","195.85.37.3","Hong Kong DC","Web Hosting","Adele","RHEL 9","Prod",627,"Hazelcast","planned"
"UK","host4652","LAN","201.135.154.228","London DC","Monitoring","Amy Winehouse","RHEL 8","Dev",826,"Mule PCE","active"
"PL","host1563","LAN","204.204.118.56","Warsaw DC","Database","Elton John","RHEL 8","Prod",419,"Kong GW","decommissioning"
"UK","host3661","DMZ","213.210.250.70","London DC","File Storage","Elton John","RHEL 9","Prod",840,"Kong GW","active"
"HK","host9215","LAN","196.127.110.44","Hong Kong DC","Monitoring","Amy Winehouse","RHEL 9","Dev",711,"Mule GW","planned"
"US","host1481","WAN","218.149.146.26","New York DC","Email","Amy Winehouse","RHEL 8","Dev",1100,"Kong GW","active"
"US","host4786","DMZ","206.142.183.226","New York DC","Database","Adele","RHEL 8","Prod",1290,"Hazelcast","planned"
"UK","host9290","LAN","213.82.153.25","London DC","Web Hosting","Adele","RHEL 7","Prod",1546,"Kong GW","active"
"UK","host5157","LAN","195.14.197.184","London DC","Web Hosting","John Lennon","RHEL 8","Prod",1016,"MongoDB","active"
"UK","host9376","LAN","214.175.241.90","London DC","Database","David Bowie","RHEL 9","Test",959,"Mule GW","planned"
"US","host8233","LAN","209.190.38.161","New York DC","File Storage","Amy Winehouse","RHEL 9","Prod",1108,"rProxy","planned"
"PL","host2912","LAN","214.43.66.237","Warsaw DC","Email","David Bowie","RHEL 8","Test",405,"Mule GW","active"
"UK","host4916","WAN","219.77.83.92","London DC","Database","Elton John","RHEL 7","Dev",1615,"rProxy","decommissioning"
"US","host8716","LAN","193.179.206.69","New York DC","File Storage","David Bowie","RHEL 9","UAT",836,"Mule GW","planned"
"US","host2410","WAN","220.194.5.170","New York DC","Database","Amy Winehouse","RHEL 8","Prod",1282,"rProxy","planned"
"UK","host3467","LAN","220.60.245.60","London DC","File Storage","David Bowie","RHEL 8","Dev",911,"Hazelcast","active"
"UK","host9022","LAN","219.172.242.186","London DC","Database","Adele","RHEL 9","Dev",861,"Mule GW","planned"
"UK","host6428","LAN","201.237.210.218","London DC","Database","Adele","RHEL 8","Prod",910,"rProxy","active"
"UK","host8734","LAN","196.73.76.185","London DC","Web Hosting","Adele","RHEL 9","Prod",879,"Mule GW","planned"
"US","host8910","LAN","213.94.125.100","New York DC","Web Hosting","Elton John","RHEL 8","Prod",1329,"Kong GW","active"
"HK","host1565","LAN","211.179.134.179","Hong Kong DC","Web Hosting","Amy Winehouse","RHEL 8","Prod",934,"rProxy","active"
"US","host8709","DMZ","220.73.193.23","New York DC","Database","Elton John","RHEL 7","Prod",1892,"Mule PCE","active"
"UK","host4263","DMZ","198.212.251.57","London DC","Email","Amy Winehouse","RHEL 8","Dev",1069,"Mule PCE","planned"
"PL","host3492","LAN","195.182.73.218","Warsaw DC","Email","Adele","RHEL 8","Prod",300,"MongoDB","active"
"US","host4891","WAN","216.196.143.235","New York DC","Database","Adele","RHEL 9","UAT",1072,"Mule PCE","planned"
"PL","host3467","LAN","210.77.137.219","Warsaw DC","Database","John Lennon","RHEL 9","Prod",175,"rProxy","planned"
"US","host1014","LAN","201.51.150.198","New York DC","Web Hosting","Adele","RHEL 8","Prod",1309,"Hazelcast","planned"
"UK","host9911","LAN","208.130.43.126","London DC","Web Hosting","David Bowie","RHEL 7","Prod",1542,"Hazelcast","active"
"US","host8335","LAN","199.155.58.186","New York DC","Monitoring","Amy Winehouse","RHEL 8","Prod",1198,"Hazelcast","planned"
"PL","host8376","LAN","219.169.240.45","Warsaw DC","Database","Adele","RHEL 9","Test",237,"Kong GW","planned"
"US","host6107","LAN","222.114.84.139","New York DC","Database","Amy Winehouse","RHEL 8","Dev",1088,"Mule PCE","active"
"PL","host4611","LAN","220.81.7.159","Warsaw DC","Web Hosting","Adele","RHEL 8","Dev",360,"Kong GW","decommissioning"
"PL","host5038","LAN","194.77.4.113","Warsaw DC","Database","Elton John","RHEL 8","Prod",455,"Hazelcast","active"
"PL","host2884","LAN","196.198.251.236","Warsaw DC","File Storage","Elton John","RHEL 8","Prod",427,"rProxy","active"
"UK","host1177","LAN","195.22.148.174","London DC","Monitoring","David Bowie","RHEL 9","Prod",913,"Mule PCE","planned"
"UK","host5666","DMZ","212.240.105.103","London DC","File Storage","Adele","RHEL 8","Prod",1079,"Hazelcast","planned"
"US","host6050","LAN","219.154.170.145","New York DC","Monitoring","Adele","RHEL 8","Dev",1081,"Hazelcast","active"
"PL","host8157","DMZ","210.187.231.75","Warsaw DC","Web Hosting","David Bowie","RHEL 8","Dev",565,"MongoDB","planned"
"UK","host7984","LAN","210.148.5.226","London DC","File Storage","Adele","RHEL 8","Test",1222,"Mule PCE","planned"
"US","host8349","WAN","200.88.236.154","New York DC","File Storage","John Lennon","RHEL 8","Prod",1287,"Mule GW","active"
"UK","host5154","WAN","218.62.66.124","London DC","Email","Adele","RHEL 8","Test",1252,"MongoDB","active"
"US","host5979","WAN","202.86.11.155","New York DC","Web Hosting","Adele","RHEL 8","Prod",1375,"rProxy","active"
"UK","host2785","LAN","220.31.217.186","London DC","Database","Adele","RHEL 9","Prod",833,"Kong GW","active"
"CN","host2048","WAN","215.48.21.39","Beijing DC","Database","Amy Winehouse","RHEL 8","Prod",745,"Hazelcast","active"
"US","host5200","DMZ","200.123.142.112","New York DC","Monitoring","Adele","RHEL 8","Prod",1001,"MongoDB","active"
"UK","host7740","LAN","193.235.168.134","London DC","File Storage","John Lennon","RHEL 7","Dev",1726,"Mule GW","decommissioning"
"PL","host9152","LAN","221.200.193.129","Warsaw DC","Web Hosting","Adele","RHEL 8","Prod",313,"MongoDB","active"
"US","host8134","LAN","209.238.89.46","New York DC","Monitoring","Amy Winehouse","RHEL 9","Test",852,"rProxy","active"
"HK","host2462","DMZ","211.139.220.79","Hong Kong DC","Web Hosting","Amy Winehouse","RHEL 8","Prod",951,"MongoDB","active"
"UK","host7795","LAN","210.69.0.182","London DC","Monitoring","Amy Winehouse","RHEL 9","Dev",785,"rProxy","planned"
"US","host3854","WAN","200.172.1.60","New York DC","Database","Adele","RHEL 9","Prod",908,"Hazelcast","planned"
"US","host2631","WAN","201.11.111.172","New York DC","Database","David Bowie","RHEL 9","Prod",1119,"Hazelcast","active"
"PL","host1928","LAN","207.250.151.63","Warsaw DC","File Storage","Adele","RHEL 8","Dev",484,"Mule PCE","active"
"US","host6360","LAN","212.69.177.205","New York DC","Web Hosting","Adele","RHEL 9","Dev",1112,"Mule GW","planned"
"US","host9435","LAN","221.179.189.65","New York DC","Web Hosting","Elton John","RHEL 9","Dev",893,"rProxy","planned"
"UK","host3390","LAN","218.246.137.142","London DC","Email","Amy Winehouse","RHEL 9","Prod",606,"Kong GW","active"
"UK","host2529","LAN","201.152.165.133","London DC","Database","John Lennon","RHEL 7","Prod",1588,"Kong GW","decommissioning"
"UK","host6268","DMZ","209.70.158.240","London DC","Database","Amy Winehouse","RHEL 7","Dev",1287,"Kong GW","decommissioning"
"PL","host2787","LAN","219.154.76.239","Warsaw DC","Email","Elton John","RHEL 8","Prod",388,"rProxy","active"
"PL","host1616","LAN","219.64.209.126","Warsaw DC","Monitoring","David Bowie","RHEL 9","Prod",157,"Mule GW","active"
"UK","host3070","LAN","198.221.128.160","London DC","File Storage","Adele","RHEL 8","Prod",893,"rProxy","planned"
"UK","host5064","WAN","193.21.241.246","London DC","Database","Adele","RHEL 7","Prod",1370,"Mule PCE","planned"
"UK","host2189","DMZ","203.63.91.227","London DC","File Storage","David Bowie","RHEL 8","Prod",1093,"Hazelcast","active"
"CN","host6553","LAN","218.116.224.240","Beijing DC","Database","Adele","RHEL 8","Prod",445,"rProxy","planned"
"UK","host2555","LAN","199.2.116.63","London DC","Database","Adele","RHEL 9","Prod",678,"Mule GW","active"
"UK","host3092","LAN","199.105.181.50","London DC","Database","David Bowie","RHEL 7","Test",1441,"Kong GW","decommissioning"
"CN","host1267","LAN","213.142.70.83","Beijing DC","Email","Adele","RHEL 7","Prod",436,"Hazelcast","decommissioning"
"US","host7871","WAN","194.255.145.251","New York DC","Monitoring","Adele","RHEL 9","Prod",836,"Mule GW","planned"
"HK","host4772","LAN","218.129.198.61","Hong Kong DC","Monitoring","Elton John","RHEL 9","Dev",778,"Hazelcast","active"
"HK","host8557","WAN","195.147.15.228","Hong Kong DC","Email","John Lennon","RHEL 8","Dev",997,"Hazelcast","planned"
"UK","host8637","LAN","211.48.31.110","London DC","File Storage","Amy Winehouse","RHEL 8","Prod",1251,"Kong GW","active"
"US","host1787","LAN","222.138.255.55","New York DC","Database","David Bowie","RHEL 8","Prod",1466,"Mule PCE","active"
"US","host4528","LAN","215.24.246.203","New York DC","Email","Adele","RHEL 8","Dev",1422,"MongoDB","planned"
"US","host1407","LAN","204.103.236.74","New York DC","Database","David Bowie","RHEL 9","Dev",969,"Hazelcast","planned"
"CN","host6729","LAN","203.203.31.252","Beijing DC","Monitoring","John Lennon","RHEL 7","Prod",528,"Mule GW","decommissioning"
"UK","host7312","WAN","215.33.123.246","London DC","Database","Amy Winehouse","RHEL 8","Test",866,"Kong GW","active"
"UK","host7641","LAN","202.103.150.205","London DC","Web Hosting","David Bowie","RHEL 9","Prod",606,"Hazelcast","active"
